Title,Repo,Start Date,End Date,Length (days),Completion Days Before Release,Description,Checklist,GitHub Project Product,Validate Start Date,Validate End Date,
$BUILD Release Planning,NASA-PDS/software-issues-repo,2026-03-13,2026-04-23,41,231,LOE support for high priority improvements to Validate,,System Engineering,TRUE,TRUE,
$BUILD Registry Legacy Support: High Priority Enhancements / Bug Fixes / Tasks,NASA-PDS/registry-legacy-solr,2026-04-03,2026-09-17,167,84,LOE support for high priority improvements to Legacy Solr Registry,,System Engineering,,,
$BUILD Validate Support: High Priority Enhancements / Bug Fixes / Tasks,NASA-PDS/validate,2026-04-03,2026-09-17,167,84,LOE support for high priority improvements to Validate,,Validate,TRUE,TRUE,
$BUILD Registry API Support: High Priority Enhancements / Bug Fixes / Tasks,NASA-PDS/registry-api,2026-04-03,2026-09-17,167,84,LOE support for high priority improvements to Registry API,,Search API,TRUE,TRUE,
$BUILD DUM Support:  High Priority Enhancements / Bug Fixes / Tasks,NASA-PDS/data-upload-manager,2026-04-03,2026-09-17,167,84,LOE support for high priority improvements to Data Upload Manager,,Data Upload Manager,TRUE,TRUE,
$BUILD Nucleus Support: High Priority Enhancements / Bug Fixes / Tasks,NASA-PDS/nucleus,2026-04-03,2026-09-17,167,84,LOE support for high priority improvements to Nucleus,,Nucleus,TRUE,TRUE,
$BUILD Website Support: High Priority Enhancements / Bug Fixes / Tasks,NASA-PDS/portal,2026-04-03,2026-09-17,167,84,LOE support for high priority improvements to PDS Portals,,Web Dev,TRUE,TRUE,
$BUILD Registry Support: High Priority Enhancements / Bug Fixes / Tasks,NASA-PDS/registry,2026-04-03,2026-09-17,167,84,LOE support for high priority improvements to Registry,,Registry Tools,TRUE,TRUE,
$BUILD Information Model SCR Implementation and LDDTool Updates,NASA-PDS/pds4-information-model,2026-04-03,2026-10-08,188,63,Information Model SCR Implementation and LDDTool Updates,,PDS4 Information Model,TRUE,TRUE,
$BUILD SCR Freeze,NASA-PDS/pds4-information-model,2026-09-17,2026-09-17,0,84,DDWG SCR Freeze,,PDS4 Information Model,FALSE,TRUE,
$BUILD Triage Security Code Scans,NASA-PDS/software-issues-repo,2026-09-18,2026-10-08,20,63,Triage Security Code Scans from SonarCloud,Triage results on SonarCube Cloud;Inform SEO Security that Dispositions are available,System Engineering,TRUE,TRUE,
$BUILD Bi-annual Cloud Resource Housekeeping,NASA-PDS/planetary-data-cloud,2026-09-18,2026-10-08,20,63,"Review cloud resources for possible cost cutting opportunities. See wiki ""Bi-Annual Cloud Resource Review"" for more details.",,Cloud Operations,,,
$BUILD Information Model Delivery to I&T,NASA-PDS/pds4-information-model,2026-09-18,2026-10-08,20,63,Information Model Delivery to I&T,Wrap up remaining SCR implementations;Deliver IM to I&T,PDS4 Information Model,TRUE,TRUE,
$BUILD Standards Documents Updates,NASA-PDS/pds4-information-model,2026-09-18,2026-10-08,20,63,Standards Documents Updates,"Standards Reference Document Update;Generate labels and DOIs for documents
Data Provider's Handbook Updates",PDS4 Information Model,TRUE,TRUE,
$BUILD dLDD Integration & Test,NASA-PDS/system-i-n-t,2026-10-09,2026-11-19,41,21,Discipline LDD Integration & Test,Generate and Deliver Discipline LDDs for I&T;Discipline LDD Review (dLDD Stewards Teams);Discipline LDD Freeze,I&T and Release,TRUE,TRUE,
$BUILD Standards Document Review,NASA-PDS/system-i-n-t,2026-10-09,2026-11-19,41,21,Standards Document Review,Review Standards Reference Document Updates;Complete Doc Updates Per Review Comments,I&T and Release,TRUE,TRUE,
$BUILD System Integration & Test ,NASA-PDS/system-i-n-t,2026-10-09,2026-11-19,41,21,System Integration & Test ,Perform System Testing;Generate Test Report;Update EN Node webpage with Test Report,I&T and Release,TRUE,TRUE,
$BUILD Information Model I&T,NASA-PDS/system-i-n-t,2026-10-09,2026-10-30,21,41,Information Model I&T,,I&T and Release,TRUE,FALSE,
$BUILD Delivery & Deployment Review (DDR),NASA-PDS/system-i-n-t,2026-10-30,2026-12-10,41,0,Delivery & Deployment Review (DDR),Generate and Release Final Release Description Document (RDD);Generate & Submit DDR Presentation;Release Test Report;DDR - TBD date,I&T and Release,TRUE,TRUE,
$BUILD Deployment and Release,NASA-PDS/system-i-n-t,2026-11-20,2026-12-10,20,0,Deployment and Release,"Deployment of Test Environment;Deployment of Production Environment - https://docs.google.com/spreadsheets/d/1f1zK9hdR3RWQP9PiR80EMFQ3xDqca1tK2a7oqSCKuHE/edit?usp=sharing;Webpage Updated - documents , discipline LDDs, TBD mission LDDs;Release announcement to public",I&T and Release,TRUE,TRUE,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
